# program=RunicWorldGame.exe functions=27733 matched=408
FUN_0097 | FUN_00978c40 @ 00978c40 size=48
FUN_0097 | FUN_00978c70 @ 00978c70 size=135
FUN_0097 | FUN_00978d00 @ 00978d00 size=147
FUN_0097 | FUN_00978da0 @ 00978da0 size=39
FUN_0097 | FUN_00978dd0 @ 00978dd0 size=84
FUN_0097 | FUN_00978e30 @ 00978e30 size=55
FUN_0097 | FUN_00978e70 @ 00978e70 size=7
FUN_0097 | FUN_00978e80 @ 00978e80 size=16
FUN_0097 | FUN_00978e90 @ 00978e90 size=33
FUN_0097 | FUN_00978ec0 @ 00978ec0 size=580
FUN_0097 | FUN_00979110 @ 00979110 size=84
FUN_0097 | FUN_00979170 @ 00979170 size=112
FUN_0097 | FUN_009791e0 @ 009791e0 size=97
FUN_0097 | FUN_00979250 @ 00979250 size=123
FUN_0097 | FUN_009792d0 @ 009792d0 size=83
FUN_0097 | FUN_00979330 @ 00979330 size=128
FUN_0097 | FUN_009793b0 @ 009793b0 size=196
FUN_0097 | FUN_00979480 @ 00979480 size=108
FUN_0097 | FUN_009794f0 @ 009794f0 size=107
FUN_0097 | FUN_00979560 @ 00979560 size=100
FUN_0097 | FUN_009795d0 @ 009795d0 size=357
FUN_0097 | FUN_00979740 @ 00979740 size=162
FUN_0097 | FUN_009797f0 @ 009797f0 size=123
FUN_0097 | FUN_00979870 @ 00979870 size=328
FUN_0097 | FUN_009799c0 @ 009799c0 size=483
FUN_0097 | FUN_00979bb0 @ 00979bb0 size=425
FUN_0097 | FUN_00979d60 @ 00979d60 size=295
FUN_0097 | FUN_00979e90 @ 00979e90 size=666
FUN_0097 | FUN_0097a130 @ 0097a130 size=292
FUN_0097 | FUN_0097a260 @ 0097a260 size=116
FUN_0097 | FUN_0097a2e0 @ 0097a2e0 size=175
FUN_0097 | FUN_0097a390 @ 0097a390 size=488
FUN_0097 | FUN_0097a580 @ 0097a580 size=233
FUN_0097 | FUN_0097a670 @ 0097a670 size=798
FUN_0097 | FUN_0097a990 @ 0097a990 size=369
FUN_0097 | FUN_0097ab10 @ 0097ab10 size=227
FUN_0097 | FUN_0097ac00 @ 0097ac00 size=29
FUN_0097 | FUN_0097ac20 @ 0097ac20 size=143
FUN_0097 | FUN_0097acb0 @ 0097acb0 size=322
FUN_0097 | FUN_0097ae00 @ 0097ae00 size=161
FUN_0097 | FUN_0097aeb0 @ 0097aeb0 size=52
FUN_0097 | FUN_0097aef0 @ 0097aef0 size=256
FUN_0097 | FUN_0097aff0 @ 0097aff0 size=1098
FUN_0097 | FUN_0097b440 @ 0097b440 size=417
FUN_0097 | FUN_0097b5f0 @ 0097b5f0 size=193
FUN_0097 | FUN_0097b6c0 @ 0097b6c0 size=342
FUN_0097 | FUN_0097b840 @ 0097b840 size=342
FUN_0097 | FUN_0097b9e0 @ 0097b9e0 size=12
FUN_0097 | FUN_0097b9ec @ 0097b9ec size=53
FUN_0097 | FUN_0097ba30 @ 0097ba30 size=52
FUN_0097 | FUN_0097ba70 @ 0097ba70 size=98
FUN_0097 | FUN_0097bae0 @ 0097bae0 size=79
FUN_0097 | FUN_0097bb30 @ 0097bb30 size=76
FUN_0097 | FUN_0097bb80 @ 0097bb80 size=90
FUN_0097 | FUN_0097bbe0 @ 0097bbe0 size=222
FUN_0097 | FUN_0097bcc0 @ 0097bcc0 size=189
FUN_0097 | FUN_0097bd80 @ 0097bd80 size=41
FUN_0097 | FUN_0097bdb0 @ 0097bdb0 size=195
FUN_0097 | FUN_0097be80 @ 0097be80 size=5350
FUN_0097 | FUN_0097d370 @ 0097d370 size=645
FUN_0097 | FUN_0097d600 @ 0097d600 size=297
FUN_0097 | FUN_0097d730 @ 0097d730 size=128
FUN_0097 | FUN_0097d7b0 @ 0097d7b0 size=110
FUN_0097 | FUN_0097d820 @ 0097d820 size=109
FUN_0097 | FUN_0097d890 @ 0097d890 size=43
FUN_0097 | FUN_0097d8c0 @ 0097d8c0 size=687
FUN_0097 | FUN_0097db80 @ 0097db80 size=396
FUN_0097 | FUN_0097dd20 @ 0097dd20 size=604
FUN_0097 | FUN_0097df90 @ 0097df90 size=240
FUN_0097 | FUN_0097e080 @ 0097e080 size=199
FUN_0097 | FUN_0097e150 @ 0097e150 size=662
FUN_0097 | FUN_0097e3f0 @ 0097e3f0 size=143
FUN_0097 | FUN_0097e480 @ 0097e480 size=241
FUN_0097 | FUN_0097e580 @ 0097e580 size=414
FUN_0097 | FUN_0097e730 @ 0097e730 size=410
FUN_0097 | FUN_0097e8d0 @ 0097e8d0 size=391
FUN_0097 | FUN_0097ea60 @ 0097ea60 size=162
FUN_0097 | FUN_0097eb10 @ 0097eb10 size=736
FUN_0097 | FUN_0097edf0 @ 0097edf0 size=199
FUN_0097 | FUN_0097eec0 @ 0097eec0 size=1600
FUN_0097 | FUN_0097f510 @ 0097f510 size=96
FUN_0097 | FUN_0097f570 @ 0097f570 size=51
FUN_0097 | FUN_0097f5b0 @ 0097f5b0 size=51
FUN_0097 | FUN_0097f5f0 @ 0097f5f0 size=29
FUN_0097 | FUN_0097f610 @ 0097f610 size=16
FUN_0097 | FUN_0097f620 @ 0097f620 size=16
FUN_0097 | FUN_0097f630 @ 0097f630 size=16
FUN_0097 | FUN_0097f640 @ 0097f640 size=14
FUN_0097 | FUN_0097f650 @ 0097f650 size=173
FUN_0097 | FUN_0097f700 @ 0097f700 size=499
FUN_0097 | FUN_0097f900 @ 0097f900 size=54
FUN_0097 | FUN_0097f940 @ 0097f940 size=392
FUN_0097 | FUN_0097fad0 @ 0097fad0 size=132
FUN_0097 | FUN_0097fb60 @ 0097fb60 size=64
FUN_0097 | FUN_0097fba0 @ 0097fba0 size=58
FUN_0097 | FUN_0097fbe0 @ 0097fbe0 size=601
FUN_0097 | FUN_0097fe40 @ 0097fe40 size=7
FUN_0097 | FUN_0097fe50 @ 0097fe50 size=35
FUN_0097 | FUN_0097fe80 @ 0097fe80 size=110
FUN_0097 | FUN_0097fef0 @ 0097fef0 size=405
